COMPONENT_RESIZED, size:java.awt.Dimension[width=490,height=470], bounds:java.awt.Rectangle[x=1,y=28,width=490,height=470], since:479
COMPONENT_RESIZED, size:java.awt.Dimension[width=490,height=470], bounds:java.awt.Rectangle[x=1,y=28,width=490,height=470], since:480
WINDOW_OPENED, v:java.awt.Dimension[width=492,height=499], since:482
COMPONENT_MOVED, size:java.awt.Dimension[width=498,height=471], bounds:java.awt.Rectangle[x=1,y=28,width=498,height=471], since:794
MOUSE_DRAGGED, x:36, y:87, bt:0, since:23963
MOUSE_DRAGGED, x:37, y:87, bt:0, since:24020
MOUSE_DRAGGED, x:38, y:87, bt:0, since:24020
MOUSE_DRAGGED, x:40, y:87, bt:0, since:24139
MOUSE_DRAGGED, x:41, y:87, bt:0, since:24215
MOUSE_DRAGGED, x:42, y:87, bt:0, since:24342
MOUSE_DRAGGED, x:43, y:87, bt:0, since:24426
MOUSE_DRAGGED, x:43, y:86, bt:0, since:24489
MOUSE_RELEASED, x:43, y:86, bt:16, since:24521
MOUSE_MOVED, x:43, y:87, bt:0, since:24580
MOUSE_MOVED, x:43, y:89, bt:0, since:24606
MOUSE_MOVED, x:43, y:90, bt:0, since:24631
MOUSE_MOVED, x:43, y:94, bt:0, since:24680
MOUSE_MOVED, x:42, y:96, bt:0, since:24708
MOUSE_MOVED, x:42, y:99, bt:0, since:24734
MOUSE_MOVED, x:45, y:109, bt:0, since:24771
MOUSE_MOVED, x:50, y:118, bt:0, since:24798
MOUSE_MOVED, x:72, y:136, bt:0, since:24824
MOUSE_MOVED, x:151, y:184, bt:0, since:24869
MOUSE_MOVED, x:191, y:208, bt:0, since:24915
MOUSE_MOVED, x:213, y:218, bt:0, since:24916
MOUSE_MOVED, x:222, y:223, bt:0, since:24916
MOUSE_MOVED, x:259, y:242, bt:0, since:24982
MOUSE_MOVED, x:260, y:242, bt:0, since:25014
MOUSE_MOVED, x:262, y:242, bt:0, since:25014
MOUSE_MOVED, x:271, y:239, bt:0, since:25049
MOUSE_MOVED, x:292, y:223, bt:0, since:25098
MOUSE_MOVED, x:304, y:217, bt:0, since:25119
MOUSE_MOVED, x:325, y:214, bt:0, since:25148
MOUSE_MOVED, x:337, y:220, bt:0, since:25242
MOUSE_MOVED, x:342, y:224, bt:0, since:25270
MOUSE_MOVED, x:346, y:226, bt:0, since:25294
MOUSE_MOVED, x:347, y:228, bt:0, since:25325
MOUSE_MOVED, x:347, y:229, bt:0, since:25356
MOUSE_MOVED, x:347, y:231, bt:0, since:25388
MOUSE_MOVED, x:347, y:235, bt:0, since:25389
MOUSE_MOVED, x:347, y:238, bt:0, since:25446
MOUSE_MOVED, x:347, y:239, bt:0, since:25508
